name_indo,name_hanzi,name_pinyin,road,gps_lat,gps_lon,address,ref_no,id,num_images,region
VIHARA BUDDHAYANA MAHA KARUNA (BAWAH),觀音堂(盧萬),Guan Yin Tang (Lu Wan),ROBAN (下齋堂-Xia Zhai Tang),0.8933166666666666,109.00423888888889,"Jl. KS. Tubun, RT 57/12 Kelurahan Roban",51,T19,7,Tengah (Central)
CETIYA KON JIM FUT MU,觀音佛母壇(黄泥路),Guan Yin Fo Mu Tan (Huang Ni Lu),JL. KALIMANTAN,0.9081388888888889,108.996525,"Jl. Kalimantan Gg. Lima, RT 09/03 Kelurahan Roban",,T20,,Tengah (Central)
CETIYA FUT HOI THONG,佛海堂(黄泥路),Fo Hai Tang (Huang Ni Lu),JL. KALIMANTAN,0.9075416666666667,108.99509722222223,"Jl. Kalimantan Gg. P4, RT 08/03 Kelurahan Roban",,T21,,Tengah (Central)
CETIYA SIAM LO FAB THAN,暹邏法壇(黄泥路),Xian Luo Fa Tan (Huang Ni Lu),JL. KALIMANTAN,0.9082666666666667,108.99393888888889,"Jl. Kalimantan Gg. Tiga, RT 33/07 Kelurahan Condong",,T22,,Tengah (Central)
CETIYA THAI PAK KUNG KUNG,大伯公公壇(黄泥路),Da Bo Gong Gong Tan (Huang Ni Lu),JL. KALIMANTAN,0.9074611111111112,108.9931611111111,"Jl. Kalimantan Gg. Tiga, RT 33/07 Kelurahan Condong",48,T23,5,Tengah (Central)
VIHARA JIU TET FUT THONG,有德佛堂(黄泥路),You De Fo Tang (Huang Ni Lu),JL. KALIMANTAN,0.9088916666666667,108.99406111111111,"Jl. Kalimantan, RT 36/07 Kelurahan Condong",,T24,,Tengah (Central)
VIHARA FONG THAI NYIAN SAI / CHOI LAM SHIN,方大元帥廟/菜籃神(黄泥路),Fang Da Yuan Shuai Miao / Cai Lan Shen,JL. KALIMANTAN,0.9093194444444445,108.99305,"Jl. Kalimantan Gg. Satu, RT 32/07 Kelurahan Condong",,T25,,Tengah (Central)
KELENTENG THAI PAK KUNG KUNG,大伯公公廟(黄泥路),Da Bai Gong Gong Miao (Huang Ni Lu),JL. HULU / JL. KALIMANTAN,0.9086000000000001,108.99307222222222,"Jl. Hulu, RT 33/07 Kelurahan Condong",49,T26,6,Tengah (Central)
CETIYA BUN KIUNG FAB,文宮法壇(港尾),Wen Gong Fa Tan (Gang Wei),JL. HULU,0.9083638888888889,108.99261666666666,"Jl. Hulu, RT 32/07 Kelurahan Condong",,T27,,Tengah (Central)
VIHARA GITA TRIRATNA,接善堂/齋堂(港尾),Jie Shan Tang / Zhai Tang (Gang Wei),JL. HULU,0.9080166666666667,108.9931611111111,"Jl. Hulu, RT 33/07 Kelurahan Condong",,T28,,Tengah (Central)
CETIYA CHAU LIU LIN THAN,趙劉靈壇,Zhao Liu Ling Tan,JL. BUDI UTOMO,0.9092416666666667,108.9898,"Jl. Budi Utomo No.8A, RT 23/05 Kelurahan Condong",,T29,,Tengah (Central)
ALTAR KELUARGA TJHIA,謝恊勝祖屋壇,Xie Xie Sheng Zu Wu Tan,KAWASAN TRADISIONAL,0.9103055555555556,108.99024722222222,"Jl. Budi Utomo, RT 23/05 Kelurahan Condong",,T30,,Tengah (Central)
YAYASAN DHARMA SUCI MULIA,五福真君廟,Wu Fu Zhen Jun Miao,JL. PEMUDA,0.9109694444444445,108.99082222222222,"Jl. Pemuda Gg. Tabrani H. Ahmad, RT 22/05 Kelurahan Condong",,T31,,Tengah (Central)
CETIYA CHO FUK KIUNG,坐福宮,Zuo Fu Gong,JL. PEMUDA,0.9105361111111111,108.99098333333333,"Jl. Pemuda Gg. Tabrani H. Ahmad, RT 22/05 Kelurahan Condong",,T32,,Tengah (Central)
